200001,101;102;109;112
200002,102;105
200009,101;102;103
200012,103;104;105
200027,108
200032,101;102
200034,105;113
200036,101;102;103;108;109;112
200043,101;103;104;105
200049,103
200050,103;104
200051,101;102;104;105;107;109;112;113;115
200054,101;105
200055,105
200057,101
200064,102;103;104;105;110
200069,102;103;105;107
200074,104;105
200075,103;104;105;112
200079,105
200082,102;105
200086,104;105;112
200090,103;104;105
200091,102;105;107
200095,105;107
200098,105
200103,101;102;103;104;105;107;109;110;112;113;115;116
200104,109;110
200107,104;105
200116,101;108;111
200121,101
200123,101;105
200124,105
200128,101;103;105
200148,101
200150,105
200154,101;102;104;105;110;116;117
200176,105
200181,101;102;105;113
200183,105;107
200186,101;103;104;105;110
200198,101
200210,105
200254,102;110
200270,105;116
200274,101;102;103;104;109;110;113
200281,108
200296,101
200299,101;102;104;105
200300,102;103;104;105
200304,108
200315,101;102;105
200332,101
200344,105;107
200351,102;110
200354,105
200369,102;104;105;107
200394,101;105
200395,101
200399,101;102;103;104;105;107;108;109;110;113
200412,101
200415,103
200433,101;102;103;104;105
200435,101;102;103;104;105;106;114;116;117
200455,108
200456,103
200470,101;105
200478,101
200487,103
200497,102;105
200500,109
200513,101;105
200520,101;102;103;104;107;108;109;110;112
200522,101
200524,101;102;105
200536,101
200539,103
200545,108
200548,102;105
200556,102;105
200562,101;112
200565,103;105
200566,105
200570,101;102;105;107
200571,102;105;107
200574,101;102;103;104;106;109;110;111
200585,101;102;103;104;105;106
200586,102;105;107
200589,112
200593,101
200597,101
200599,101
200600,101
200601,101;102;104
200607,104;108
200610,101;105;108;112
200627,108
200629,101;104;105;106
200632,109;110
200634,101;105;112
200635,101
200640,105
200641,108
200657,105
200661,105
200662,105
200665,102
200667,101
200683,103
200685,101;102;103;104;105;110
200687,105
200689,101
200691,101
200693,101;102;105;113
200710,103;104;105
200711,103;104;105;108
200714,105
200722,110
200733,105;108
200736,101;102;103;104;105;106;112
200740,101
200745,101;102;108;113
200768,101;107;113
200777,103;104;105
200778,102;105
200782,103;104;105
200786,101;103;104;105
200789,101;105
200795,102;105
200796,102;103;104;105
200803,105
200817,107;108
200820,102;105
200822,108
